"schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Lea.State","ID","Year","Category","Sex","no.AmericanIndianAbs","no.AsianAbs","no.HawaiianPIAbs","no.HispanicAbs","no.BlackAbs","no.WhiteAbs","no.Two.or.more.racesAbs","TotalAbs","no.IdeaAbs","no.504Abs","no.LEPAbs"
"casaesperanzamontessoricharterschool","NC","casaesperanzamontessori",508,0,5.5,0,17.9,35.4,38,3.5,6.9,6.3,1,27616,1,2681,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Casa Esperanza Montessori Charter School",1,6,1.99522585353076,1,1,"NC",3.70013e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","6","4","2","1",13,"2","-","-"
"casaesperanzamontessoricharterschool","NC","casaesperanzamontessori",508,0,5.5,0,17.9,35.4,38,3.5,6.9,6.3,1,27616,1,2681,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Casa Esperanza Montessori Charter School",1,6,1.99522585353076,1,1,"NC",3.70013e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","3","2","7","1",13,"-","-","1"
"centralmontessorielementary","MN","forestlakepublicschooldistrict",188,0,0.5,0,1.6,5.9,85.1,6.9,1.1,10.6,0.5,55025,1,1757,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"CENTRAL MONTESSORI  ELEMENTARY",1,33.3,-0.421248793690225,1,2,"MN",2.71227e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","1","-","3","-",4,"-","-","-"
"centralmontessorielementary","MN","forestlakepublicschooldistrict",188,0,0.5,0,1.6,5.9,85.1,6.9,1.1,10.6,0.5,55025,1,1757,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"CENTRAL MONTESSORI  ELEMENTARY",1,33.3,-0.421248793690225,1,2,"MN",2.71227e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","2","-","2","-",4,"1","-","-"
"championshipacademyofdistinctionatdavie","FL","broward",592,0.7,2.4,0.2,15,68.1,12,2,15,3.4,1,33024,0,7977,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"CHAMPIONSHIP ACADEMY OF DISTINCTION AT DAVIE",1,58.5,-1.48231059935915,1,97,"FL",120018007977,2017,"Students absent 15 or more school dates during school year","M","-","-","-","26","4","3","1.00",34,"-","-","8"
"championshipacademyofdistinctionatdavie","FL","broward",592,0.7,2.4,0.2,15,68.1,12,2,15,3.4,1,33024,0,7977,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"CHAMPIONSHIP ACADEMY OF DISTINCTION AT DAVIE",1,58.5,-1.48231059935915,1,97,"FL",120018007977,2017,"Students absent 15 or more school dates during school year","F","-","1.00","-","37","4","2","-",44,"2.00","2.00","7"
"charlevoixmontessoriacademyforthearts","MI","charlevoixmontessoriacademyforthearts",46,6.5,0,0,2.2,6,84.8,0,0,34.8,0,53205,1,486,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Charlevoix Montessori Academy for the Arts",1,78.3,0.877865313111809,1,3,"MI",2.60007e+11,2017,"Students absent 15 or more school dates during school year","M","1","-","-","-","1","6","-",8,"3","-","-"
"charlevoixmontessoriacademyforthearts","MI","charlevoixmontessoriacademyforthearts",46,6.5,0,0,2.2,6,84.8,0,0,34.8,0,53205,1,486,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Charlevoix Montessori Academy for the Arts",1,78.3,0.877865313111809,1,3,"MI",2.60007e+11,2017,"Students absent 15 or more school dates during school year","F","2","-","-","3","3","5","-",13,"6","-","-"
"citygardenmontessorischool","MO","citygardenmontessori",281,0,0,1,41.6,4.3,48.8,4,0,11,2,63110,1,3101,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"CITY GARDEN MONTESSORI SCHOOL",1,39.6,2.47674236259822,1,5,"MO",2.90059e+11,2017,"Students absent 15 or more school dates during school year","M","-","-","-","-","4","3","1",8,"1","-","-"
"citygardenmontessorischool","MO","citygardenmontessori",281,0,0,1,41.6,4.3,48.8,4,0,11,2,63110,1,3101,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"CITY GARDEN MONTESSORI SCHOOL",1,39.6,2.47674236259822,1,5,"MO",2.90059e+11,2017,"Students absent 15 or more school dates during school year","F","-","-","-","1","4","3","1",9,"2","-","-"
