"schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Corporal punishment_White","Corporal punishment_Black","Corporal punishment_Hispanic","Corporal punishment_tot_dis","in-school suspensions_White","in-school suspensions_Black","in-school suspensions_Hispanic","in-school suspensions_tot_dis","only one out-of-school_White","only one out-of-school_Black","only one out-of-school_Hispanic","only one out-of-school_tot_dis","more than one out-of-school_White","more than one out-of-school_Black","more than one out-of-school_Hispanic","more than one out-of-school_tot_dis","Expulsions_White","Expulsions_Black","Expulsions_Hispanic","Expulsions_tot_dis","Transferred_White","Transferred_Black","Transferred_Hispanic","Transferred_tot_dis","Referral_White","Referral_Black","Referral_Hispanic","Referral_tot_dis","arrest_White","arrest_Black","arrest_Hispanic","arrest_tot_dis"
"mountainwestmontessoriacademy","UT","mountainwestmontessoriacademy",490,0,1,1,0,9.4,83.1,5.3,1,16.7,4.3,84009,1,1455,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,"Mountain West Montessori Academy",1,19.2,0.695806946446248,1,87,0,0,0,0,4,0,1,NA,1,0,1,NA,5,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"muskegonmontessoriacademyforenvironmentalchange","MI","muskegonmontessoriacademyforenvironmentalchange",153,0,0,0,20.3,11.8,56.2,11.8,4.6,11.1,1.3,49441,1,8568,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Muskegon Montessori Academy for Environmental Change",1,75.9,2.06252431360981,1,88,0,0,0,0,0,0,0,NA,4,5,0,NA,3,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"nearwestintergenerationalschool","OH","nearwestintergenerationalschool",237,0,1,0,41.8,13.9,32,11,5.5,18.1,1.7,44113,0,5596,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Near West Intergenerational School",1,83.5,-0.323653141432341,1,51,0,0,0,0,2,7,2,5,2,8,3,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"newdiscoveriesmontessoriacademy","MN","newdiscoveriesmontessoriacademy",196,5,0,1,3.1,9,82.1,0,0,46,9.2,55904,1,3616,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"NEW DISCOVERIES MONTESSORI ACADEMY",1,59.7,1.09292353771242,1,90,0,0,0,0,57,0,8,NA,40,0,6,NA,6,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"nokomismontessorinorthcampus","MN","st.paulpublicschooldistrict",420,0.7,53,0,8,7,24,7.6,34.8,10.5,1,55119,1,1194,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"NOKOMIS MONTESSORI NORTH CAMPUS",1,61.9,-0.475097215953322,1,91,0,0,0,0,0,0,0,NA,0,1,1,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"nokomismontessorisouthcampus","MN","st.paulpublicschooldistrict",287,0,42,0,13.6,12.9,21.6,10.1,31.4,12.9,0.3,55106,1,4684,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"NOKOMIS MONTESSORI SOUTH CAMPUS",1,57.5,-0.260676010896998,1,92,0,0,0,0,0,0,0,NA,0,2,0,NA,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"northavondalemontessorielementaryschool","OH","cincinnaticity",617,0.2,1.5,0.2,70.3,1.1,19.6,7.1,1.6,13.1,3.9,45229,1,353,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"North Avondale Montessori Elementary School",1,94.4,-0.87654411323252,1,93,0,0,0,0,9,161,1,NA,2,21,0,NA,0,15,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"northeastohiocollegepreparatoryschool","OH","northeastohiocollegepreparatoryschool",504,0,0,0,78.4,11.5,5,5.4,1.8,17.9,0.6,44113,0,5644,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"Northeast Ohio College Preparatory School",1,52.7,-0.827551725722159,1,92,0,0,0,0,1,2,0,1,2,62,8,15,3,59,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"northglademontessorischool","MI","kalamazoopublicschools",252,0.4,1.2,0,50.8,2.4,35.3,10,4.4,4,2,49007,1,5667,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Northglade Montessori School",1,70.5,-0.796943182658955,1,94,0,0,0,0,0,0,0,NA,1,6,1,NA,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"northhimountel","TX","fortworthisd",403,0,2,0,14.4,48.6,30.5,4.7,15.9,7.7,5,76107,0,1892,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"NORTH HI MOUNT EL",1,52.2,-1.29753428080612,1,69,0,0,0,0,2,1,1,0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"northlakesacademy","MN","northlakesacademy",191,0,2.6,0,4.2,6.3,84.3,2.1,2.6,29.3,5.8,55025,0,3045,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,"NORTH LAKES ACADEMY",1,24.2,-0.678062268301855,1,47,0,0,0,0,14,1,1,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"northparkmontessoriacademy","MI","grandrapidspublicschools",495,0.6,1.2,0,8.3,9.7,69.7,10.5,2.2,13.5,0,49525,1,7746,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"North Park Montessori Academy",1,38.3,-0.619869349000654,1,95,0,0,0,0,0,0,0,NA,4,3,3,NA,5,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ozarkmontessoriacademyspringdale","AR","ozarkmontessoriacademyspringdale",187,0,0,1.6,1.6,36.9,58.8,0.5,17.1,0,1.1,72764,1,1612,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"OZARK MONTESSORI ACADEMY SPRINGDALE",1,35.5,1.06506061647404,1,96,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"parkerwoodsmontessori","OH","cincinnaticity",591,0,1,0,56.5,2.4,32.7,7.1,4,20.5,3.9,45229,1,393,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"Parker Woods Montessori",1,87.1,-0.951603751613448,1,97,0,0,0,0,11,106,3,NA,0,1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"parkwaymontessori/communitymiddle","MN","st.paulpublicschooldistrict",569,1.2,41,0,23.9,16.7,13,4.2,23,15.8,1.2,55106,1,4681,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,"PARKWAY MONTESSORI/COMMUNITY MIDDLE",1,79.1,-4.39995067146795,1,98,0,0,0,0,5,32,10,NA,5,24,11,NA,5,41,9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
