"","schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Corporal.punishment_White","Corporal.punishment_Black","Corporal.punishment_Hispanic","Corporal.punishment_tot_dis","in.school.suspensions_White","in.school.suspensions_Black","in.school.suspensions_Hispanic","in.school.suspensions_tot_dis","only.one.out.of.school_White","only.one.out.of.school_Black","only.one.out.of.school_Hispanic","only.one.out.of.school_tot_dis","more.than.one.out.of.school_White","more.than.one.out.of.school_Black","more.than.one.out.of.school_Hispanic","more.than.one.out.of.school_tot_dis","Expulsions_White","Expulsions_Black","Expulsions_Hispanic","Expulsions_tot_dis","Transferred_White","Transferred_Black","Transferred_Hispanic","Transferred_tot_dis","Referral_White","Referral_Black","Referral_Hispanic","Referral_tot_dis","arrest_White","arrest_Black","arrest_Hispanic","arrest_tot_dis","Black_num","Hispanic_num","White_num","tot_OSSsus","tot_OSSRate","tot_ISSsus","tot_ISSRate","white_OSS_rate","black_OSS_rate","hispanic_OSS_rate","white_ISS_rate","black_ISS_rate","hispanic_ISS_rate","zeroISS","issP","zeroOSS"
"157","marktwainprimaryschool","IL","kankakeesd111",266,0,0,0,52.3,33.5,10.2,3.8,30.5,11.3,1.1,60901,0,2367,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,"Mark Twain Primary School",1,77,-0.75539171584438,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,89,27,0,0,0,0,0,0,0,0,0,0,"zero",0.443521163587002,"zero"
"158","marquettemontessoriacademy","IN","southbendcommunityschoolcorp",451,0,1,0,49,5.8,35,9.3,0.7,14.6,1.3,46628,1,1672,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,"Marquette Montessori Academy",1,69.6,-0.832626268585517,1,67,0,0,0,0,0,0,0,NA,3,15,3,NA,1,11,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,221,26,158,33,0.0814814814814815,0,0,0.0253164556962025,0.117647058823529,0.115384615384615,0,0,0,"zero",0.395349814069847,"nonZero"
"159","marylandmontessori","WI","milwaukeeschooldistrict",451,0,6,0,17.3,7.1,58.1,11.1,0,13.7,1.3,53211,1,1216,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Maryland Montessori",1,22.8,-0.0863296778720495,1,68,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,78,32,262,0,0,0,0,0,0,0,0,0,0,"zero",0.380118982448029,"zero"
"160","mauro-sheridanmagnetschool","CT","newhavenschooldistrict",531,0,0.9,0,52,28.6,16.4,1.7,7.5,14,2.4,6515,0,1564,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Mauro-Sheridan Magnet School",1,41.2,0.644252651714369,1,56,0,0,0,0,2,13,3,4,2,7,4,4,2,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,152,87,30,0.058252427184466,18,0.0349514563106796,0.0459770114942529,0.0615942028985507,0.0592105263157895,0.0229885057471264,0.0471014492753623,0.0197368421052632,"nonZero",0.274011299700161,"nonZero"
"161","maustonmontessoricharterschool","WI","maustonschooldistrict",44,0,0,0,6.8,4.5,86.4,2.3,0,9.1,0,53948,1,3030,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"Mauston Montessori Charter School",1,35.6,1.75036378880666,1,70,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,2,38,0,0,0,0,0,0,0,0,0,0,"zero",0.635495297538328,"zero"
"162","maysandsmontessorischool","FL","monroe",140,0,7.9,0,1,13.6,70,7.9,0.7,5,2.9,33040,1,3440,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"MAY SANDS MONTESSORI SCHOOL",1,25.7,1.74375225233835,1,71,0,0,0,0,0,0,0,NA,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,19,98,1,0.00847457627118644,0,0,0.0102040816326531,0,0,0,0,0,"zero",0.680335603812113,"nonZero"
"163","monarchmontessori","CO","schooldistrictno.1inthecountyofdenverandstateofc",250,1.2,0.8,1,24,52,14.4,7,31.2,10,1.2,80239,1,6555,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"MONARCH MONTESSORI",1,72.4,-1.60117743739848,1,73,0,0,0,0,1,3,0,NA,0,1,1,NA,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,60,130,36,4,0.0176991150442478,4,0.0176991150442478,0.0277777777777778,0.0333333333333333,0.00769230769230769,0.0277777777777778,0.05,0,"nonZero",0.722276774527207,"nonZero"
"164","montessoriatfranklin","MN","rochesterpublicschooldistrict",159,2,8,0,8,1,77,4,1,10,1,55904,1,994,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"MONTESSORI AT FRANKLIN",1,15.5,-1.54137952401557,1,74,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,13,2,122,0,0,0,0,0,0,0,0,0,0,"zero",0.497995530694288,"zero"
"165","montessoridelmundocharterschool","CO","statecharterschoolinstitute",254,3.5,0,0.8,3.9,75.6,11.8,4.3,43.3,13,1.2,80017,1,6602,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"MONTESSORI DEL MUNDO CHARTER SCHOOL",1,61.6,-0.249482370127911,1,75,0,0,0,0,6,0,20,NA,2,0,3,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10,192,30,6,0.0258620689655172,26,0.112068965517241,0.0666666666666667,0,0.0208333333333333,0.2,0,0.104166666666667,"nonZero",0.707884888935366,"nonZero"
"166","montessorielementaryschool1","IL","rockfordsd205",553,0.2,4.2,0,25.7,14.6,48.1,7.2,6,8.7,1.8,62521,1,1589,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Montessori Elementary School",1,34.5,1.08819287499733,1,77,0,0,0,0,5,13,1,NA,6,15,2,NA,1,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,142,81,266,29,0.0593047034764826,19,0.0388548057259714,0.0263157894736842,0.140845070422535,0.0246913580246914,0.018796992481203,0.0915492957746479,0.0123456790123457,"nonZero",0.418214093255325,"nonZero"
