"","schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Corporal.punishment_White","Corporal.punishment_Black","Corporal.punishment_Hispanic","Corporal.punishment_tot_dis","in.school.suspensions_White","in.school.suspensions_Black","in.school.suspensions_Hispanic","in.school.suspensions_tot_dis","only.one.out.of.school_White","only.one.out.of.school_Black","only.one.out.of.school_Hispanic","only.one.out.of.school_tot_dis","more.than.one.out.of.school_White","more.than.one.out.of.school_Black","more.than.one.out.of.school_Hispanic","more.than.one.out.of.school_tot_dis","Expulsions_White","Expulsions_Black","Expulsions_Hispanic","Expulsions_tot_dis","Transferred_White","Transferred_Black","Transferred_Hispanic","Transferred_tot_dis","Referral_White","Referral_Black","Referral_Hispanic","Referral_tot_dis","arrest_White","arrest_Black","arrest_Hispanic","arrest_tot_dis","Black_num","Hispanic_num","White_num","tot_OSSsus","tot_OSSRate","tot_ISSsus","tot_ISSRate","white_OSS_rate","black_OSS_rate","hispanic_OSS_rate","white_ISS_rate","black_ISS_rate","hispanic_ISS_rate","zeroISS","issP","zeroOSS"
"187","northparkmontessoriacademy","MI","grandrapidspublicschools",495,0.6,1.2,0,8.3,9.7,69.7,10.5,2.2,13.5,0,49525,1,7746,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"North Park Montessori Academy",1,38.3,-0.619869349000654,1,95,0,0,0,0,0,0,0,NA,4,3,3,NA,5,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,41,48,345,18,0.0414746543778802,0,0,0.0260869565217391,0.121951219512195,0.0833333333333333,0,0,0,"zero",0.384844220732447,"nonZero"
"188","ozarkmontessoriacademyspringdale","AR","ozarkmontessoriacademyspringdale",187,0,0,1.6,1.6,36.9,58.8,0.5,17.1,0,1.1,72764,1,1612,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"OZARK MONTESSORI ACADEMY SPRINGDALE",1,35.5,1.06506061647404,1,96,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,69,110,0,0,0,0,0,0,0,0,0,0,"zero",0.778225211155723,"zero"
"189","parkerwoodsmontessori","OH","cincinnaticity",591,0,1,0,56.5,2.4,32.7,7.1,4,20.5,3.9,45229,1,393,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"Parker Woods Montessori",1,87.1,-0.951603751613448,1,97,0,0,0,0,11,106,3,NA,0,1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,334,14,193,1,0.00184842883548983,120,0.22181146025878,0,0.0029940119760479,0,0.0569948186528497,0.317365269461078,0.214285714285714,"nonZero",0.286676806269078,"nonZero"
"190","parkwaymontessori/communitymiddle","MN","st.paulpublicschooldistrict",569,1.2,41,0,23.9,16.7,13,4.2,23,15.8,1.2,55106,1,4681,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,"PARKWAY MONTESSORI/COMMUNITY MIDDLE",1,79.1,-4.39995067146795,1,98,0,0,0,0,5,32,10,NA,5,24,11,NA,5,41,9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,136,95,74,95,0.311475409836066,47,0.154098360655738,0.135135135135135,0.477941176470588,0.210526315789474,0.0675675675675676,0.235294117647059,0.105263157894737,"nonZero",0.387917906282457,"nonZero"
"191","patcooperel","TX","georgetownisd",553,0,0.2,0,5.2,50.5,40,4.3,18,9.9,1.4,78626,0,7488,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"PAT COOPER EL",1,58.2,-2.46865171202826,1,21,0,0,0,0,20,5,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,279,221,0,0,42,0.0793950850661626,0,0,0,0.0904977375565611,0.172413793103448,0.0609318996415771,"nonZero",0.402089145601474,"zero"
"192","pearlshawthorneschool","NY","yonkerscityschooldistrict",881,0.1,20.5,0,13.4,37.3,25.3,3.1,1.6,8.5,0.9,10705,0,4539,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"PEARLS HAWTHORNE SCHOOL",1,30.4,-0.441700299360883,1,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,329,223,1,0.00149253731343284,0,0,0,0,0.00303951367781155,0,0,0,"zero",0.252079003313178,"nonZero"
"193","pecosconnectionsacademy","NM","carlsbadmunicipalschools",512,6.1,0.2,0.8,3.9,46.7,36.9,6,1,14.6,0,88220,0,1127,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,"PECOS CONNECTIONS ACADEMY",1,60.7,-1.3565158402566,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,239,189,0,0,0,0,0,0,0,0,0,0,"zero",0.404832425164141,"zero"
"194","pinewoodelementary","MN","rochesterpublicschooldistrict",327,1,4,0,15,9,63,9,13,12,1,55904,0,1009,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"PINEWOOD ELEMENTARY",1,36.7,-0.964228629623622,1,22,0,0,0,0,0,2,0,1,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,29,206,3,0.0105633802816901,2,0.00704225352112676,0,0.0408163265306122,0.0344827586206897,0,0.0408163265306122,0,"nonZero",0.330705061806572,"nonZero"
"195","pittsburghdilworthk-5","PA","pittsburghsd",496,0.6,1,0.2,60.7,2.2,28.8,6.5,0,8.7,0.2,15206,0,6024,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Pittsburgh Dilworth K-5",1,53.8,-0.244171308958209,1,111,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,11,143,2,0.0043956043956044,0,0,0,0.00664451827242525,0,0,0,0,"zero",0.320042203136206,"nonZero"
"196","pittsburghfultonk-5","PA","pittsburghsd",355,0,2,0.8,79.2,1.7,10.7,5.4,1,19.4,0.3,15206,0,6026,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Pittsburgh Fulton K-5",1,77.3,-0.685455768114153,1,55,0,0,0,0,0,0,0,0,0,13,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,6,38,14,0.0430769230769231,0,0,0,0.0498220640569395,0,0,0,0,"zero",0.252438228803921,"nonZero"
"197","pittsburghmontessorik-5","PA","pittsburghsd",354,0,3,0.8,18.9,1.7,69.5,6.2,0,8.2,1.4,15206,1,351,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Pittsburgh Montessori K-5",1,29.2,0.935215791720715,1,99,0,0,0,0,0,0,0,NA,1,6,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,67,6,246,7,0.0219435736677116,0,0,0.0040650406504065,0.0895522388059701,0,0,0,0,"zero",0.445719022920821,"nonZero"
"198","pleasantridgemontessorischool","OH","cincinnaticity",657,0,0,0,50.8,4,36.8,8.4,3.8,23.3,5.2,45213,1,362,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Pleasant Ridge Montessori School",1,99.5,-2.75885250241874,1,100,0,0,0,0,0,1,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,334,26,242,0,0,1,0.00166112956810631,0,0,0,0,0.0029940119760479,0,"nonZero",0.279242789731734,"zero"
"199","polkstatelakelandgatewaytocollegecharterhighschool","FL","polk",214,0,1,0,32.2,19,42.5,3.7,2,2,4.7,33803,0,8246,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"POLK STATE LAKELAND GATEWAY TO COLLEGE CHARTER HIGH SCHOOL",1,4.7,-1.27077682183773,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,41,91,0,0,0,0,0,0,0,0,0,0,"zero",0.574108782335153,"zero"
"200","prescottvalleyschool","AZ","prescottvalleycharterschool",258,1.9,1,0.8,1.2,39.5,54,1.9,10,22.9,4.7,86314,0,2321,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,"Prescott Valley School",1,75.6,-0.233545944454774,1,24,0,0,0,0,26,0,20,2,5,0,3,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,102,139,16,0.0655737704918033,46,0.188524590163934,0.0719424460431655,0,0.0588235294117647,0.18705035971223,0,0.196078431372549,"nonZero",0.352880286786924,"nonZero"
"201","renaissancecharteratcrownpoint","FL","orange",787,0.4,6.5,1.3,34.2,28,26.3,3.4,9.1,8,5,34761,0,8564,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,"RENAISSANCE CHARTER AT CROWN POINT",1,17.7,-0.212672638144664,1,18,0,0,0,0,0,0,0,0,10,22,9,8,3,18,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,220,207,67,0.0962643678160919,0,0,0.0628019323671498,0.148698884758364,0.0636363636363636,0,0,0,"zero",0.343089609201893,"nonZero"
"202","ridgemoorparkmontessori","MI","grandrapidspublicschools",83,0,2.4,0,30.1,15.7,41,10.8,7.2,14.5,0,49546,1,8812,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Ridgemoor Park Montessori",1,58,-1.01702283654826,1,102,0,0,0,0,0,2,0,NA,0,1,0,NA,1,3,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,25,13,34,7,0.0972222222222222,2,0.0277777777777778,0.0294117647058824,0.16,0.153846153846154,0,0.08,0,"nonZero",0.555147283527976,"nonZero"
"203","ridgeparkcharteracademy","MI","ridgeparkcharteracademy",585,0.2,2.9,0,61,15.7,15.6,4.6,26.5,11.1,0.3,49546,0,1135,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Ridge Park Charter Academy",1,81.9,-1.33098547240638,1,86,0,0,0,0,2,27,5,6,3,35,7,9,2,24,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,92,91,74,0.137037037037037,34,0.062962962962963,0.0549450549450549,0.165266106442577,0.108695652173913,0.021978021978022,0.0756302521008403,0.0543478260869565,"nonZero",0.419794629622969,"nonZero"
"204","river'sedgemontessoriprek-6school","OH","daytoncity",554,0,2,0,50,4.3,37.9,5.6,13.5,11.4,0.4,45405,1,791,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"River's Edge Montessori PreK-6 School",1,99.5,-2.70658079647224,1,103,0,0,0,0,0,0,0,NA,3,11,0,NA,1,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,277,24,210,18,0.0352250489236791,0,0,0.019047619047619,0.0505415162454874,0,0,0,0,"zero",0.484512691984772,"nonZero"
"205","riverviewmiddle","WI","barronareaschooldistrict",378,0,0,0,11,6.3,78.8,3.2,9,15.1,0,54812,0,118,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"Riverview Middle",1,54.9,-4.0922013550648,1,7,0,0,0,0,12,6,0,5,8,5,1,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,24,298,21,0.0576923076923077,18,0.0494505494505494,0.0503355704697987,0.119047619047619,0.0416666666666667,0.0402684563758389,0.142857142857143,0,"nonZero",0.280785187424101,"nonZero"
"206","riverwaylearningcommunitychtr","MN","riverwaylearningcommunitychtr",67,0,0,0,26.9,0,73.1,0,0,28,0,55987,0,3478,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"RIVERWAY LEARNING COMMUNITY CHTR",1,66.7,0.799954324043705,1,104,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,49,4,0.0597014925373134,0,0,0.0408163265306122,0.111111111111111,NA,0,0,NA,"zero",0.256043400846706,"nonZero"
"207","rochelleschoolofthearts","FL","polk",849,0,1,0,45.9,17.2,32.2,4,3,4,6,33880,0,1719,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"ROCHELLE SCHOOL OF THE ARTS",1,44.9,0.826980591049737,1,113,0,0,0,0,2,12,2,0,10,52,2,8,0,66,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,146,273,134,0.165636588380717,16,0.0197775030902349,0.0366300366300366,0.302564102564103,0.0410958904109589,0.00732600732600733,0.0307692307692308,0.0136986301369863,"nonZero",0.297380073146928,"nonZero"
"208","rocklinindependentcharteracademy","CA","rocklinunified",151,2,5.3,0,0,14.6,66.2,11.9,0.7,9.9,0,95765,0,13722,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,"Rocklin Independent Charter Academy",1,29.8,0.942164841910909,1,112,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,100,3,0.0245901639344262,0,0,0.03,NA,0,0,NA,0,"zero",0.479068283766411,"nonZero"
"209","roselandmontessori","LA","tangipahoaparish",459,0,0,0,37,0.9,57.7,4.4,0,15.9,15.5,70586,1,1321,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Roseland Montessori",1,38.9,1.91688999718833,1,104,0,0,0,0,8,18,0,NA,8,6,0,NA,1,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,170,4,265,20,0.0455580865603645,26,0.0592255125284738,0.0339622641509434,0.0647058823529412,0,0.030188679245283,0.105882352941176,0,"nonZero",0.352854093932012,"nonZero"
"210","rosenthalmontessorielementaryschool","LA","rapidesparish",391,0,1.5,0,80.6,0.5,17.4,0,0,4.3,1.5,71301,1,1076,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Rosenthal Montessori Elementary School",1,80.6,-1.44946470856234,1,105,0,0,0,0,0,0,0,NA,0,2,0,NA,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,315,2,68,4,0.0103896103896104,0,0,0,0.0126984126984127,0,0,0,0,"zero",0.629104775233159,"nonZero"
"211","sandsmontessorielementaryschool","OH","cincinnaticity",703,0,1.8,0,14.5,1.6,72.7,9.2,0.9,11.7,4.4,45230,1,372,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"Sands Montessori Elementary School",1,19.5,0.378623650416408,1,106,0,0,0,0,7,7,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,102,11,511,0,0,14,0.0224358974358974,0,0,0,0.0136986301369863,0.0686274509803922,0,"nonZero",0.278845646220017,"zero"
"212","school15-children'sschoolofrochester(the)","NY","rochestercityschooldistrict",347,0,25.4,0,39.5,15,19.6,1,37.2,12.1,1.2,14605,0,1623,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"SCHOOL 15-CHILDREN'S SCHOOL OF ROCHESTER (THE)",1,85.1,-0.597341097126606,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,52,68,0,0,0,0,0,0,0,0,0,0,"zero",0.378903786251609,"zero"
"213","school17","NY","yonkerscityschooldistrict",449,0.4,4.5,0,20,60.1,12.5,2.4,14.5,18.3,0,10704,0,4261,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"SCHOOL 17",1,58.4,-1.49465063228985,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,270,56,0,0,0,0,0,0,0,0,0,0,"zero",0.307473022233135,"zero"
"214","school21","NY","yonkerscityschooldistrict",461,0.7,7.4,0,14.3,52.7,22.8,2,16.3,8,0,10705,0,4264,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"SCHOOL 21",1,62.8,-1.0446568217458,1,49,0,0,0,0,0,0,0,0,1,1,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,243,105,8,0.0193236714975845,0,0,0.00952380952380952,0.0606060606060606,0.0123456790123457,0,0,0,"zero",0.441887719713119,"nonZero"
"215","school29","NY","yonkerscityschooldistrict",638,0.2,7.2,0,27.9,50,14.3,0.9,6.6,27.9,0.9,12205,0,4271,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"SCHOOL 29",1,61.4,-1.14260361138868,1,9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,319,91,3,0.00510204081632653,0,0,0,0.00561797752808989,0.00626959247648903,0,0,0,"zero",0.150791416643671,"nonZero"
"216","school53montessoriacademy","NY","rochestercityschooldistrict",311,0.6,1,0,65.3,17.4,13.5,2,1.9,11.9,2.6,14605,1,4361,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"SCHOOL 53 MONTESSORI ACADEMY",1,74.3,-1.52367208458734,1,107,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,203,54,42,0,0,0,0,0,0,0,0,0,0,"zero",0.563113888335862,"zero"
"217","sigsbeecharterschool","FL","monroe",507,0,2.2,1,4,20.3,65.1,8.3,5.1,10.1,4.1,33170,0,7698,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"SIGSBEE CHARTER SCHOOL",1,3.6,0.887538593681669,1,61,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,103,330,1,0.0022075055187638,1,0.0022075055187638,0,0,0.00970873786407767,0,0,0.00970873786407767,"nonZero",0.343248541639224,"nonZero"
"218","simondselementaryschool","MI","lampherepublicschools",314,0.3,4.8,0,6.1,3.5,78.3,7,15.6,17.8,0,48071,0,5784,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Simonds Elementary School",1,54,-1.44929415086677,1,105,0,0,0,0,3,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,246,10,0.036231884057971,3,0.0108695652173913,0.040650406504065,0,0,0.0121951219512195,0,0,"nonZero",0.25937489663441,"nonZero"
"219","sixthstreetprep","CA","victorelementary",246,0.8,5.3,0.4,6.9,72.4,13.8,0.4,32.5,8,0,92395,0,7280,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"Sixth Street Prep",1,73.6,-1.99350574981718,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,178,34,0,0,0,0,0,0,0,0,0,0,"zero",0.665819426350258,"zero"
"220","sladeelementary","WY","albanycountyschooldistrict#1",285,1.4,3.9,0,1.8,18,71,3.5,8.1,15.1,1.4,84414,0,20,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Slade Elementary",1,36.7,-0.980960590043623,1,60,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,51,202,1,0.00387596899224806,4,0.0155038759689922,0.00495049504950495,0,0,0.0148514851485149,0.2,0,"nonZero",0.309275685280019,"nonZero"
"221","somersetvillageacademy","FL","broward",261,0,0,0,64.4,26.4,6.9,1.5,26.1,7.3,1,33311,0,7837,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"SOMERSET VILLAGE ACADEMY",1,95,-1.53302979762457,1,89,0,0,0,0,2,15,1,4,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,69,18,6,0.0235294117647059,18,0.0705882352941176,0,0.0357142857142857,0,0.111111111111111,0.0892857142857143,0.0144927536231884,"nonZero",0.623090543466578,"nonZero"
"222","southbrowardmontessoricharterschool","FL","broward",140,0,2.1,0,24.3,54.3,19.3,0,40.7,1.4,0.7,33020,1,8237,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"SOUTH BROWARD MONTESSORI CHARTER SCHOOL",1,57.9,-0.739897313515124,1,109,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,34,76,27,0,0,0,0,0,0,0,0,0,0,"zero",0.827989367840435,"zero"
"223","southmckeelacademy","FL","polk",1195,0,4,0,7.5,15,70.8,2.2,1,4,7.4,33803,0,5341,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,"SOUTH MCKEEL ACADEMY",1,27.5,1.00434600301256,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,179,846,0,0,0,0,0,0,0,0,0,0,"zero",0.251470117713933,"zero"
"224","springcreekelementary","WY","albanycountyschooldistrict#1",326,0.6,2.1,0,1.2,13.5,78.5,4,5.5,16.9,0.3,82070,0,6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Spring Creek Elementary",1,22.7,-2.68002545599733,1,124,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,256,2,0.00657894736842105,2,0.00657894736842105,0.00390625,0,0.0227272727272727,0,0,0.0454545454545455,"nonZero",0.250757489676907,"nonZero"
"225","steelemontessoriacademy","TX","sanantonioisd",105,0,0,0,2.9,87.6,7.6,1.9,2.9,8,6.7,78501,1,13656,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"STEELE MONTESSORI ACADEMY",1,75.2,0.527350140574139,1,110,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,92,8,0,0,0,0,0,0,0,0,0,0,"zero",0.826330804411204,"zero"
"226","stonebrookmontessori","OH","stonebrookmontessori",177,1,1,1,85.3,2,6.2,4.5,0,9.6,0.6,44108,1,5849,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,"Stonebrook Montessori",1,57.9,0.76954342923659,1,111,0,0,0,0,0,0,0,NA,0,1,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,151,4,11,2,0.0120481927710843,0,0,0,0.0132450331125828,0,0,0,0,"zero",0.658957190880183,"nonZero"
"227","sudermontessorielemmagnetschl","IL","cityofchicagosd299",413,1,4,0,55.9,16.7,18,3.6,6.1,13.6,9,60612,1,5801,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Suder Montessori Elem Magnet Schl",1,55.1,1.962639464307,1,113,0,0,0,0,0,19,1,NA,0,4,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,231,69,74,5,0.0133689839572193,20,0.053475935828877,0,0.0216450216450216,0,0,0.0822510822510823,0.0144927536231884,"nonZero",0.435125576438609,"nonZero"
"228","taftprimaryschool","IL","kankakeesd111",395,0,0,0,63,14.2,18.7,3.5,9.6,14.2,0.8,61107,0,2358,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,"Taft Primary School",1,72.1,-2.5786447744443,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,56,74,0,0,0,0,0,0,0,0,0,0,"zero",0.317370687737886,"zero"
"229","tangiacademy","LA","tangipahoacharterschoolassociation",330,1.2,0.3,0,47,8.2,42,2.1,0.3,10.3,2.1,70403,0,2418,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,"Tangi Academy",1,25.8,0.869771480646973,1,88,0,0,0,0,5,17,2,7,7,20,1,4,9,20,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,27,139,57,0.177570093457944,24,0.0747663551401869,0.115107913669065,0.258064516129032,0.037037037037037,0.0359712230215827,0.109677419354839,0.0740740740740741,"nonZero",0.413355345802604,"nonZero"
"230","theolivetreemontessoriacademy","TX","eastfortworthmontessoriacademy",79,0,13.9,0,46,12.7,25.3,2.5,40.5,1.3,0,76710,1,12879,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"THE OLIVE TREE MONTESSORI ACADEMY",1,50.6,1.2943972037142,1,114,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,36,10,20,0,0,0,0,0,0,0,0,0,0,"zero",0.7867843374436,"zero"
"231","treasurevillagemontessoricharterschool","FL","monroe",207,0,2.4,0.5,0.5,18.4,77.3,1,1,12.6,3.4,33040,1,3619,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"TREASURE VILLAGE MONTESSORI CHARTER SCHOOL",1,33.2,2.87516105267807,1,115,0,0,0,0,0,0,0,NA,0,0,0,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,38,160,1,0.0050251256281407,0,0,0.00625,0,0,0,0,0,"zero",0.558867400439576,"nonZero"
"232","tremontmontessorischool","OH","clevelandmunicipal",577,0,0,0,67.6,6.8,20,4.7,1.4,18.4,0.3,44113,1,542,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Tremont Montessori School",1,99.5,-2.10553921971021,1,116,0,0,0,0,3,39,3,NA,1,41,3,NA,3,63,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,390,39,115,113,0.207720588235294,45,0.0827205882352941,0.0347826086956522,0.266666666666667,0.128205128205128,0.0260869565217391,0.1,0.0769230769230769,"nonZero",0.384548470515179,"nonZero"
"233","trianglelakemontessorielem","NC","guilfordcountyschools",518,0.6,9.5,1,56.4,12.4,18,2.3,5.2,10.2,0,27260,1,2524,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Triangle Lake Montessori Elem",1,61.8,-0.745681442926494,1,117,0,0,0,0,0,0,0,NA,1,7,0,NA,0,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,292,64,93,11,0.0244988864142539,0,0,0.010752688172043,0.0342465753424658,0,0,0,0,"zero",0.455519071926322,"nonZero"
"234","trowbridgestreetschoolofgreatlakesstudies","WI","milwaukeeschooldistrict",263,1.5,1.1,0,19.8,43.3,25.9,8.4,2.3,23.6,0.8,53207,0,1259,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Trowbridge Street School of Great Lakes Studies",1,80.1,-1.529677883374,1,20,0,0,0,0,0,0,0,0,1,6,4,7,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,114,68,15,0.0641025641025641,0,0,0.0147058823529412,0.192307692307692,0.0350877192982456,0,0,0,"zero",0.312050660672708,"nonZero"
"235","universallearningacademy","MI","universallearningacademy",777,0.1,1.3,0,9.8,1.4,84.7,3,48.4,7.3,0.5,48185,0,7820,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,"Universal Learning Academy",1,77.7,0.509796706310373,1,71,0,0,0,0,0,0,0,0,36,6,0,4,28,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,11,658,72,0.0966442953020134,0,0,0.0972644376899696,0.105263157894737,0,0,0,0,"zero",0.344908132369987,"nonZero"
